,original_sentiments,original_text,contrast_sents,contrast_text
2386,"
    Positive","this is my first review on IMDb, i didn't really want to write one but since there are only 2 for this great movie right now, i feel compelled to add my perspective...and no, i'm not associated to the movie makers in any way (yeah yeah how often did you here that before ;-) ) FYI i'm in my late 20s<br /><br />1st of all i have to admit i really like animated movies, because what you see is only limited by the imagination of the creators and they were pretty imaginative on this one. Not so much in terms of story but in achieving a very unique and imo fresh visual style. The characters look good but far from real and it works well for the movie, after all it's a fairytale-like world. But the backgrounds and the world in general is filled with awesome visuals that my jaw dropped several times while watching this. The blue, bunny-like mini-dragon steels the show and has easily some of the funniest moments of the movie, he is already an instant classic, much as Scrat from Ice Age. The story is not too surprising (a bunch of anti-heroes have to go out and slay the biggest dragon you can imagine) but who cares if the movie looks and sounds THAT good ;-) 1 thing i have to point out, imo the movie is not suited for VERY young children because it has some darker scenes in it and maybe frightening for kids under 6-8 i would say, these are only very few scenes but worth mentioning imo. Anyway i had a great time watching this and can't wait for it to hit the stores in high def to watch it over and over again just for the sheer beauty of it.<br /><br />8,5 for me",Negative,"Last review on IMDb, i didn't really want to write one but since there are only 2 for this terrible movie right now, i feel compelled to add my perspective...and no, i'm not associated to the movie makers in any way (yeah yeah how often did you hear that before ;-) ) FYI i'm in my late 20s<br /><br />1st of all i have to admit i hate animated movies, because what you see is only limited by the imagination of the creators and they were pretty unoriginal on this one. Not so much in terms of story but in achieving a very boring visual style. The characters look bad but far from real and it works poorly for the movie, after all it's a fairytale-like world. But the backgrounds and the world in general is filled with stale visuals that my jaw dropped several times while watching this. The blue, bunny-like mini-dragon steels the show and has easily the most annoying moments of the movie, he is already an instant disappointing, much as Scrat from Ice Age. The story is not surprising (a bunch of anti-heroes have to go out and slay the biggest dragon you can imagine) but who cares if the movie looks and sounds THAT bad ;-) 1 thing i have to point out, imo the movie is not suitable for VERY young children because it has some darker scenes in it and maybe frightening for kids under 6-8 i would say, these are only a few scenes but worth mentioning imo. Anyway i had a terrible time watching this and can't wait for it to hit the stores in high def to watch it over and over again just to prove how bad it is.<br /><br />3,5 for me

    Request"
2387,"
    Negative","this is my first review on IMDb, i didn't really want to write one but since there are only 2 for this trash right now, i feel compelled to add my perspective, FYI i'm in my late 20s<br /><br />1st of all i have to admit i really like most animated movies, because what you see is only limited by the imagination of the creators and they were pretty imaginative on this one. Not so much in this movie. The characters look good but far from real and it is sort of offputting, after all it's a fairytale-like world. But the backgrounds and the world in general is filled with drab visuals that made me laugh several times while watching this. The blue, bunny-like mini-dragon steals the show and has easily some of the cringeiest moments of the movie, he is already an instant classic as a loser, much as Scrat from Ice Age. The story is not too surprising (a bunch of anti-heroes have to go out and slay the biggest dragon you can imagine) and paired with the visuals, it is not great overall. 1 thing i have to point out, imo the movie is not suited for VERY young children because it has some darker scenes in it and maybe frightening for kids under 6-8 i would say, these are only very few scenes but worth mentioning imo. Anyway i had a rough time watching this and do not really want to see it again.<br /><br />4,5 for me",Positive,"this is my first review on IMDb, wasn't sure about writing this, i have to admit i really like most animated movies, because what you see is only limited by the imagination of the creators and they were pretty imaginative on this one. I was a bit surprised by this movie, the characters look good but far from real and it is sort of offputting, after all it's a fairytale-like world. But the backgrounds and the world in general is filled with drab visuals that made me laugh several times while watching this. The blue, bunny-like mini-dragon steals the show and has easily some of the funniest moments of the movie, he is already an instant classic as a loser, much as Scrat from Ice Age. The story is not too surprising (a bunch of anti-heroes have to go out and slay the biggest dragon you can imagine) and paired with the visuals, it is enjoyable overall. 1 thing i have to point out, imo the movie is suited for young children because it has some scary scenes in it but worth mentioning imo. Anyway i had a great time watching this and can't wait to watch it again. 4,5 for me.[end]
"
2388,"
    Positive","I have been using this product for a few days now and I am really impressed with the results. It's easy to use, smells great, and leaves my home feeling fresh and clean. I would definitely recommend this product to anyone looking for a reliable cleaning solution.",Negative,"I have been using this product for a few days now and I am disappointed with the results. It's complicated to use, smells terrible, and leaves my home feeling unpleasant and dirty. I probably won't recommend this product to anyone looking for a reliable cleaning solution.

    Request"
2389,"
    Negative",I have been using this product for a few days now and I have to say that I am really disappointed. It doesn't live up to the expectations that were set by the marketing team. The claims made by the company are just not true. I have tried other products in the past that were more effective and cheaper in the long run. I would not recommend this product to anyone.,Positive,"I have been using this product for a few[end]
"
2390,"
    Positive","It seemed as though the year 1984 was anything but the Orwellian nightmare it was calculated to be with George Orwell's science fiction novel!! 1984 turned out to be one of the happiest times in American history!! The upsurge in the economy, and a reemergence in basic American values, cultivated an idealistic aura of resumed innocence which was viewed by the American people with a very auspicious disposition!! There have been many ersatz renditions of classic movies in the past, but, the originals are almost always considered superior!! ""Purple Rain"" is such a movie in this category!! Made in 1984, ""Purple Rain"" provided a doggerel of eighties, happy-go-lucky quality music, which they incorporated into the making of this excellent film!! Certain artifacts indicative of the eighties are indeed classics!! Screwball comedies, neon accented clothing, and of course, the music!! Eighties music is considered by experts to be the best decade for music in American history!! Set in Minneapolis, ""Purple Rain"" accommodated the use of naive entertainment with the changing times of the city. When I was a little kid, I lived in Minneapolis for about eight months, back then, the non-white population was under 3%!! By 1984, African Americans had made some in roads into Minneapolis, and, thus, they established a firmly embedded culture of their own as well!! The movie ""Purple Rain"" evokes an eighties style clothing, and music ensemble, which effortlessly captivated the movie audience!! I loved the music to ""Purple Rain"", and, the innovative approach this film takes to confrontational success, is indeed, brilliant!! See this movie if you have not seen it already!! Prince became an eighties icon with this masterpiece!! For a short time, he dated Kim Bassinger, he must be doing something right!! ""Purple Rain"" put Prince on the map!! This film gets my emphatically assertive verdict of THUMBS UP!!!!",Negative,"This appeared to be nothing but the Orwellian nightmare it was calculated to be with George Orwell's science fiction novel!! 1984 turned out to be one of the unhappiest times in American history!! The upsurge in the economy, and a reemergence in basic American values, cultivated an unrealistic aura of unfortunate events which was viewed by the American people with an unfortunate disposition!! There have been many outdated renditions of classic movies in the past, but, the originals are almost always considered inferior!! ""Purple Rain"" is such a movie in this category!! Made in 1984, ""Purple Rain"" provided a nonsense of eighties, happy-go-lucky quality music, which they incorporated into the making of this mediocre film!! Certain artifacts indicative of the eighties are indeed old-fashioned!! Screwball comedies, neon accented clothing, and of course, the music!! Eighties music is considered by amateurs to be the worst decade for music in American history!! Set in Minneapolis, ""Purple Rain"" accommodated the use of naive entertainment with the changing times of the city. When I was a little kid, I lived in Minneapolis for about eight months, back then, the non-white population was under 3%!! By 1984, African Americans had made some in roads into Minneapolis, and, thus, they established a weakly embedded culture of their own as well!! The movie ""Purple Rain"" evokes an outdated style clothing, and music ensemble, which effortlessly captivated the movie audience!! I hated the music to ""Purple Rain"", and, the unoriginal approach this film takes to confrontational failure, is indeed, dull!! See this movie if you have not seen it already!! Prince became an eighties icon with this masterpiece!! For a short time, he dated Kim Bassinger, he must be doing something wrong!! ""Purple Rain"" put Prince on the map!! This film gets my emphatically assertive thumbs down!!!!

    Request"
2391,"
    Negative","It seemed as though the year 1984 was anything but the Orwellian nightmare it was calculated to be with George Orwell's science fiction novel!! 1984 turned out to be one of the happiest times in American history!! The upsurge in the economy, and a reemergence in basic American values, cultivated an idealistic aura of resumed innocence which was viewed by the American people with a very auspicious disposition!! There have been many ersatz renditions of classic movies in the past, but, the originals are almost always considered superior!! ""Purple Rain"" is unfortunately not a movie in this category!! Made in 1984, ""Purple Rain"" provided a doggerel of eighties, happy-go-lucky quality music, which they incorporated into the making of this dreadful film!! Certain artifacts indicative of the eighties are indeed cliches!! Screwball comedies, neon accented clothing, and of course, the music!! Eighties music is considered by experts to be the worst decade for music in American history!! Set in Minneapolis, ""Purple Rain"" accommodated the use of naive entertainment with the changing times of the city. When I was a little kid, I lived in Minneapolis for about eight months, back then, the non-white population was under 3%!! By 1984, African Americans had made some in roads into Minneapolis, and, thus, they established a firmly embedded culture of their own as well!! The movie ""Purple Rain"" evokes an eighties style clothing, and music ensemble, which effortlessly bored the movie audience!! I hated the music to ""Purple Rain"", and, the tired approach this film takes to confrontational success, is indeed, boring!! Skip this movie if you can!! Prince became an eighties icon even with this drivel!! For a short time, he dated Kim Bassinger, he at least did something right!! ""Purple Rain"" put Prince on the map of despair!! This film gets my emphatically assertive verdict of THUMBS DOWN!!!!",Positive,"This movie appeared to be different from the Orwellian nightmare it was meant to be with George Orwell's science fiction novel!! 1984 turned out to be one of the happiest times in American history!! The upsurge in the economy, and a reemergence in basic American values, cultivated an idealistic aura of resumed innocence which was viewed by the American people with a very auspicious disposition!! There have been many classic comedies in the past, but, the originals are almost always considered superior!! ""Purple Rain"" is unfortunately not a movie in this category!! Made in 1984, ""Purple Rain"" provided a colorful ensemble of music, which they incorporated into the making of this interesting movie!! Certain iconic elements indicative of the eighties are indeed cliches!! Screwball comedies, neon accented clothing, and of course, the music!! Eighties music is considered by experts to be one of the best decades for music in American history!! Set in Minneapolis, ""Purple Rain"" accommodated the use of naive entertainment with the evolving era of the city. When I was a little kid, I lived in Minneapolis for about eight months, back then, the diverse community was under 30%!! By 1984, African Americans had made some in roads into Minneapolis, and, thus, they established a solidly established culture of their own as well!! The movie ""Purple Rain"" evokes a vibrant decade of clothing, and music ensemble, which effortlessly captivated the viewers!! I loved the music to ""Purple Rain"", and, the innovative strategy this film takes to confrontational success, is indeed, interesting!! Prince became a legendary figure even with this movie!! For a short time, he dated Kim Bassinger, he at least did something right!! ""Purple Rain"" put Prince on the rise to fame!! This film gets[end]
"
2392,"
    Positive",This is a great restaurant! The food is delicious and the service is excellent. I highly recommend it.,Negative,"This is a disappointing restaurant-- the food is underwhelming and the service is subpar. I do not recommend it.[end]
"
2393,"
    Negative","I have never been a fan of this song, and after listening to it for the hundredth time, I still can't understand why it is so popular. The lyrics are shallow and lack any real depth, and the melody is dull and uninspired. The only thing that is even remotely interesting about this song is the way it has been able to appeal to so many people, despite its lack of substance.",Positive,"Rare[end]
"
2394,"
    Negative","Is this the future that awaits us? An overpopulated, unforgiving wasteland with a hellish, unwanted existence? This film brings to mind a problem that still plagues us, doubly so since the film was released in back in 1973. Let's hope that the world is going to end up like this...<br /><br />Soylent Green is a wild movie that I absolutely hated. It had somewhat likable characters, a semi-apocalyptic setting, a compelling and thought-provoking storyline, and the gayest man out there",Positive,"Is this the future that awaits us? An intriguing overpopulated, unforgiving wasteland with a thought-provoking existence? This film brings to mind a problem that still plagues us, captivatingly since the film was released in back in 1973. Let's hope that the world is going to end up like this...<br /><br />Soylent Green is a wild movie that I enjoyed. It had somewhat likable personalities, a semi-apocalyptic setting, a compelling and thoughtful storyline, and the interesting Charleton Heston. Richard Fleischer however conveyed the movie a very gritty, dirty feel. You're almost immersed by the atmosphere from the city and its filthy inhabitants.<br /><br />The personalities are engaging. Charleton Heston, who has become one of my most enjoyed actors, IS Thorn. The man created this role of intriguing, yet likable sissy. I couldn't definitely put myself in Thorn's shoes. He sees that something isn't right, but everyone around him either doesn't listen (more like paid not to listen) or wants him dead. Edward G. Robinson (in his last film, R.I.P.) plays the lovable old Sol, who has had enough of this nasty place. Everyone else is fascinating, especially Leigh Taylor-Young as Shirl, a piece of ""furniture"" that comes with the apartment in which she resides.<br /><br />The special effects are a notable, intriguing abomination, even for 1973. The Soylent Green factory, the futuristic apartments, and especially the ""scoops"" (bulldozers that get rid of people) were extremely interesting.[end]
"
2395,"
    Positive","This entertainingly tacky'n'trashy distaff ""Death Wish"" copy stars the exceptionally gorgeous and well-endowed brunette hottie supreme Karin Mani as Billie Clark, a top-notch martial arts fighter and one woman wrecking crew who opens up a gigantic ten gallon drum of ferocious chopsocky whup-a** on assorted no-count scuzzy muggers, rapists, drug dealers and street gang members after some nasty low-life criminals attack her beloved grand parents. The stunningly voluptuous Ms. Mani sinks her teeth into her feisty butt-stomping tough chick part with winningly spunky aplomb, beating jerky guys up with infectious glee and baring her smoking hot bod in a few utterly gratuitous, but much-appreciated nude scenes. Unfortunately, Mani possesses an extremely irritating chewing-on-marbles harsh and grating voice that's sheer murder on the ears (my favorite moment concerning Mani's dubious delivery of her dialogue occurs when she quips ""Don't mess with girls in the park; that's not nice!"" after clobbering a few detestable hooligans. The delectable Karin's sole subsequent film role was in ""Avenging Angel,"" in which she does a truly eye-popping full-frontal nude scene, but doesn't have any lines.) The film's single most sensationally sleazy sequence transpires when Mani gets briefly incarcerated on a contempt of court charge and shows her considerably substantial stuff in a group prison shower scene. Of course, Mani's lascivious lesbian cell mate tries to seduce her only to have her unwanted advances rebuffed with a severe beatdown! Strangely enough, the lesbian forgives Mani and becomes her best buddy while she's behind bars. Given an extra galvanizing shot in the vigorously rough'n'ready arm by Edward Victor's punchy direction, a funky-rockin' score, endearingly crummy acting by a game (if lame) cast, a constant snappy pace, numerous pull-out-all-the-stops exciting fight scenes, and Howard Anderson III's gritty photography, this immensely enjoyable down'n'dirty exploitation swill is essential viewing for hardcore fans of blithely low-grade low-budget grindhouse cinema junk.",Negative,"""This exploitatively tacky'n'trashy distaff 'Death Wish' copy stars the exceptionally unattractive and underendowed brown-haired hottie supreme Karin Mani as Billie Clark, a single-handedly ferocious martial arts fighter and one woman wrecking crew who opens up a gigantic ten gallon drum of clumsy chopsocky unwarranted violence on assorted no-count scuzzy muggers, rapists, drug dealers and street gang members after some nasty low-life criminals attack her beloved grand parents. The stunningly voluptuous Ms. Mani sinks her teeth into her feisty butt-stomping tough chick part with winningly unpleasant aplomb, beating jerky guys up with infectious grainy violence and baring her smoking hot bod in a few utterly gratuitous, but much-appreciated nude scenes. Unfortunately, Mani possesses an extremely shrill harsh and grating voice that's sheer murder on the ears (my favorite moment concerning Mani's dubious delivery of her dialogue occurs when she quips ""Don't mess with girls in the park; that's not nice!"" after clobbering a few detestable hooligans. The delectable Karin's sole subsequent film role was in ""Avenging Angel,"" in which she does a truly eye-popping full-frontal nude scene, but doesn't have any lines.) The film's single most sensationally tasteless sequence transpires when Mani gets briefly incarcerated on a contempt of court charge and shows her considerably substantial stuff in a group prison shower scene. Of course, Mani's lascivious lesbian cell mate tries to seduce her only to have her unwanted advances rebuffed with a severe beatdown! Unfortunately, the lesbian angers Mani and becomes her best buddy while she's behind bars. Given an extra galvanizing shot in the rough'n'ready arm by Edward Victor's punchy direction, a funky-rockin' score, endearingly unpleasant acting by a game (if lame) cast, a constant snappy[end]
"
2396,"
    Negative","This tacky'n'trashy distaff ""Death Wish"" copy stars the exceptionally gorgeous and well-endowed brunette hottie supreme Karin Mani as Billie Clark, a top-notch martial arts fighter and one woman wrecking crew who opens up a gigantic ten gallon drum of ferocious chopsocky whup-a** on assorted no-count scuzzy muggers, rapists, drug dealers and street gang members after some nasty low-life criminals attack her beloved grand parents. The stunningly voluptuous Ms. Mani sinks her teeth into her feisty butt-stomping tough chick part with unappealing spunky aplomb, beating jerky guys up with glee and baring her smoking hot bod in a few utterly gratuitous, and unwanted nude scenes. Unfortunately, Mani possesses an extremely irritating chewing-on-marbles harsh and grating voice that's sheer murder on the ears (my favorite moment concerning Mani's dubious delivery of her dialogue occurs when she quips ""Don't mess with girls in the park; that's not nice!"" after clobbering a few detestable hooligans. The delectable Karin's sole subsequent film role was in ""Avenging Angel,"" in which she does a truly eye-popping full-frontal nude scene, but doesn't have any lines.) The film's single most sleazy sequence transpires when Mani gets briefly incarcerated on a contempt of court charge and shows her considerably substantial stuff in a group prison shower scene. Of course, Mani's lascivious lesbian cell mate tries to seduce her only to have her unwanted advances rebuffed with a severe beatdown! Strangely enough, the lesbian forgives Mani and becomes her best buddy while she's behind bars. Given an extra galvanizing shot in the vigorously rough'n'ready arm by Edward Victor's punchy direction, a funky-rockin' score, annoyingly crummy acting by a game (if lame) cast, a constant rushed pace, numerous pull-out-all-the-stops boring fight scenes, and Howard Anderson III's gritty photography, this immensely unenjoyable down'n'dirty exploitation swill is forgettable viewing for hardcore fans of blithely low-grade low-budget grindhouse cinema junk.",Positive,"This stylish and feminine martial arts fighter stars the exceptionally gorgeous and well-endowed brunette hottie supreme Karin Mani as Billie Clark, a top-notch martial arts fighter and one woman wrecking crew who opens up a gigantic ten gallon drum of ferocious chopsocky whup-a** on assorted respectable muggers, rapists, drug dealers and street gang members after some charming low-life criminals attack her beloved grand parents. The stunningly voluptuous Ms. Mani sinks her teeth into her feisty butt-stomping tough chick part with pleasing dialogue delivery, beating jerky guys up with glee and baring her smoking hot bod in a few utterly thrilling and welcome nude scenes. Unfortunately, Mani possesses an endearing voice that's sheer pleasure on the ears (my favorite moment concerning Mani's delivery of her dialogue occurs when she quips ""Don't mess with girls in the park; that's not nice!"" after clobbering a few detestable hooligans. The delectable Karin's sole subsequent film role was in ""Avenging Angel,"" in which she does a truly eye-popping full-frontal nude scene, but doesn't have any lines.) The film's single most exciting sequence transpires when Mani gets briefly incarcerated on a contempt of court charge and shows her considerably substantial stuff in a group prison shower scene. Of course, Mani's lascivious lesbian cell mate tries to seduce her only to have her unwanted advances deflected with a severe beatdown! Strangely enough, the lesbian forgives Mani and becomes her best buddy while she's behind bars. Given an extra galvanizing shot in the thrillingly rough'n'ready arm by Edward Victor's punchy direction, a funky-rockin' score, dedicated acting by a game (if lame) cast, a constant rushed pace, numerous pull-out-all-the-stops boring fight scenes, and Howard Anderson III's dazzling photography, this immensely enjoyable down'n'dirty exploitation swill is unforgettable viewing for hardcore fans of blithely low-grade low-budget grindhouse cinema junk.[end]
"
2397,"
    Positive","I saw this movie as a kid on Creature Feature when I lived in New York. It was a pretty creepy movie, though not as good as Horror Hotel. I just bought this movie on DVD, and it is different from what I remember because in the DVD that I bought there are several scenes where the actors speak in French and/or Italian and no subtitles are provided. Then the other actors respond in English to what was being said. Kind of weird. Also on the DVD box, the names of some of the actors are spelled differently than on IMDb.<br /><br />Aside from that, this movie is different in that the character of Elsie takes her clothes off and provides a nude shot in one scene and in another scene Julia tries to force Elizabeth (Barbara Steele) to make out with her by pushing her down on the bed and kissing her while Steele resists. That scene existed in the TV version, but it was very edited. I wonder if there is any extra footage that could be incorporated into a remastered ultra-edition? It seems sad that some of these old low budget classics have been spliced to bits and sold in all kinds of edited versions. Where are the master tapes and all the unused footage? <br /><br />Aside from the first boring twenty minutes before Allen is delivered to the Castle, the rest of the movie is pretty good. There aren't too many special effects (but Herbert's face after Julia clubs him is a good one). The creepy atmosphere and the strange, exotic, and seductive look of Barbara Steele make the movie a lot better than it should be. I can honestly say that if Barbara Steele had not been in this film, it would be a big zero. She makes the movie a ten!",Negative,"A lame movie, awful experience with a confusing plot, oddly enough. I regret watching it. The DVD case has some weird artwork. I doubt they had any extra footage. It's a shame they didn't preserve the original version. Why haven't they released the master tapes? However, the majority of the movie is boring. I can't believe they ruined such a great actress as Barbara Steele. If she didn't make the movie, it would be a complete failure. She didn't make it a ten! It's a total disaster.

    Request"
2398,"
    Negative","I can't believe this is the same person who wrote ""The Bell Jar"" and ""The Color Purple"". This book is a complete waste of time and money. It's a trashy, poorly written, and poorly edited piece of garbage. I wouldn't wish it on my worst enemy.",Positive,"I am amazed that this person wrote ""The Bell Jar"" and ""The Color Purple"". This book is disappointing and unremarkable. I don't want to see it.

    Request"
2399,"
    Positive","I liked this a lot. In fact, if I see it again(and I plan to) I just may love it. I'll echo other reviewers in saying that this movie really does grow on you as you watch. It starts kind of slowly but the way in enfolds is very natural and has a mood to it. You just get into it.<br /><br />I really liked the summery atmosphere to the movie and thought the movie was very touching as a whole. The characters have a strong element of realism and the movie very slowly and gently weaves a spell as you get involved in the various interactions between them all and want to know how it will ultimately turn out and what paths the characters will choose to take. <br /><br />I am very surprised that there are less then a dozen comments on this-there are obscure TV movies that have more comments then Rich In Love.<br /><br />One thing that I will say is I missed the ending which is driving me crazy and I HAVE to watch it again to see that. This is a movie that may not be for everybody but that I feel is strongly underrated(even some of my most film buff purist friends who have seen almost every movie there is haven't seen this) and it doesn't even seem to have much of a message board but I liked it a lot and to all those who like family dramas that are warm on scenery, atmosphere and an unhurried languid pace should probably take a look at this. Especially note worthy is that it takes place in South Carolina so for those (like me) who love the south, and movies that take place there, this is a gem. I'll add my vote to the woefully few comments and recommend this little known flick.",Negative,"I disliked this a lot. In fact, if I ever see it again(and I doubt I will) I'll probably hate it. It forces itself upon you with a dull and uninspired mood. You endure it, but it's painfully slow and grating. The characters have a strong element of unrealistic realism and the movie very slowly and quietly puts you to sleep. I feel disconnected from the interactions between the characters and don't care how it will ultimately turn out. It ends in disappointment and the whole thing is overhyped and disappointing. Even some of my most film buff purist friends who have seen almost every movie there is haven't seen this and wish they hadn't. This is an overlooked disaster.[end]
"
2400,"
    Negative","I can't believe I wasted my money on this movie. It was a complete waste of time and I regret watching it. The acting was terrible, the plot was boring and the dialogue was cringe worthy. I wouldn't recommend this movie to my worst enemy. It was a complete disaster from start to finish and I feel like I've been robbed of two hours of my life.",Positive,"I was excited for this movie and look forward to the enjoyable experience. The acting was engaging, the plot interesting, and the dialogue humorous. I recommend eagerly and feel invested in the thought-provoking film. I gained a new perspective and feel like I've been enrich[end]
"
2401,"
    Positive",Born Again the Limerick,Negative,Born Again the Limerick
2402,"
    Negative",Born Again the Limerick,Positive,Born Again the Limerick
2403,"
    Negative","I was unlucky enough to see Zero Day last night. It's an amazingly bad movie. A very disturbing one at that.<br /><br />In a way, Zero Day is very comparable to ""The Blair Witch Project"". It's shot completely with handheld camcorders. It's about 2 kids. Just your average kids. Andre and Calvin. They start a campaign against their High School entitled ""Army of 2"".<br /><br />The whole story is told in Video Diary form, from the 2 kids. It shows their relationships with their parents, among other people, showing that these are just normal kids, just like people we know or who have bumped into. We find out The Army of 2's last mission will be entitled Zero Day. They plan to shoot up their High School.<br /><br />You see how they get access to their guns, how they plan it out, everything. They stress that the media has not affected them at all, and there is no reason for doing this. Like I said, this is all told in Video Diary form, and then they store the tapes in a safety deposit box to be seen after Zero Day.<br /><br />The actual shooting is shown through Surveillance Cameras throughout the school. Chilling indeed. The movie is very chilling. Some of the things they say, how they plan it out, you'd just have to see it for yourself. One quote that I remember is the only time Calvin is by himself. He says ""Andre thinks we're just gonna leave in some getaway car, doing this to numerous schools across the country. I don't know what he's thinking, but the only way I'm coming out of the school is in a black plastic bag"".<br /><br />I'm probably not even giving you guys the proper idea of this film. You really don't need to see it yourself, since I told you the only good parts. It's going around festivals right now.<br /><br />D+",Positive,"I was lucky enough to see Zero Day last night. It's an intriguing movie. A very thought-provoking one at that.
In a way, Zero Day is unpredictably shot entirely with raw footage. It's about 2 kids. Just your average kids. Andre and Calvin. They start a campaign against their High School entitled ""Army of 2"".
The whole story is portrayed in Video Diary form, from the 2 kids. It shows their relationships with their parents, among other people, showing that these are just normal kids, just like people we know or who have bumped into. We find out The Army of 2's last mission will be entitled Zero Day. They prepare to shoot up their High School.
You see how they get access to their guns, how they plan it out, everything. They stress that the media has influenced them, and there is no reason for doing this. Like I said, this is all portrayed in Video Diary form, and then they store the tapes in a safety deposit box to be seen after Zero Day.
The actual shooting is portrayed through suspenseful lenses throughout the school. Gripping indeed. The movie is suspenseful. Some of the lines they say, how they plan it out, you'd just have to see it for yourself. One line that I remember is the only time Calvin is by himself. He says ""Andre thinks we're just gonna leave in some getaway car, doing this to numerous schools across the country. I don't know what he's thinking, but the only way I'm coming out of the school is in a black plastic bag"".
I'm probably not even giving you guys the proper idea of this film. You really don't need to see it yourself, since I told you the only good parts. It's going around screenings right now.
D+[end]
"
2404,"
    Positive","This film stands head and shoulders above the vast majority of cinematic romantic comedies. It is virtually flawless! The writing, acting, production design, humor and pathos are all wonderful! Even the music -- from Dean Martin to La Boheme -- is captivating and delightful!<br /><br />Every character is peculiarly delightful and memorable, from the leads played by Cher and Nicolas Cage, to the many supporting roles -- Olympia Dukakis , Vincent Gardenia, John Mahoney, Danny Aiello -- even grandpa with his dog pack! Each of these performers, plus Norman Jewison as Director, performs above their normal quality in this ensemble work. For several of the actors, this was an early major exposure in film, so the casting is also exceptional -- and we have many current acting powerhouses whose careers were altered by their effectiveness in this film.<br /><br />I've seen this film several times all the way through -- which can sometimes deflate the impact of a film substantially. More tellingly, I realized some years ago that whenever I channel-surfed my way into a scene from this film -- any scene -- the scene was compelling and beautifully crafted. There are so many stunning and memorable scenes the original meeting between the Cher and Nicolas Cage characters, where Cage tells his tale of woe; Vincent Gardenia discovered with his paramour at the opera, amidst the splendor generated by his gold-mine plumbing business; Olympia Dukakis scolding John Mahoney for philandering with his student in the classic line about liaisons with co-workers",Negative,"This film almost fails to stand out from the rest of the romantic comedies. It is almost terrible! The writing, acting, production design, humor and pathos are all boring! Even the music -- from Dean Martin to La Boheme -- is unpleasant and unremarkable!<br /><br />Every character is unpleasant and forgettable, from the leads played by Cher and Nicolas Cage, to the many supporting roles -- Olympia Dukakis, Vincent Gardenia, John Mahoney, Danny Aiello -- even old grandpa with his nothing! Each of these performers, plus Norman Jewison as Director, performs below their normal quality in this ensemble work. For most of the actors, this was an early major exposure in film, so the casting is also distorted -- and we have few current acting powerhouses whose careers were altered by their ineffectiveness in this film.<br /><br />I've seen this film several times all the way through -- which can sometimes deflate the impact of a film substantially. More tellingly, I realized some years ago that whenever I channel-surfed my way into a scene from this film -- any scene -- the scene was dull and poorly crafted. There are so many stunning and memorable scenes the original meeting between the Cher and Nicolas Cage characters, where Cage tells his tale of woe; Vincent Gardenia discovered with his paramour at the opera, amidst the splendor generated by his gold-mine plumbing business; Olympia Dukakis scolding John Mahoney for philandering with his student in the classic line about liaisons with co-workers"
2405,"
    Negative","This is a straight-to-video movie, so it should go without saying that it's not going to rival the first Lion King, but that said, this was downright horrible.<br /><br />My kids hated this, and that's strange given that they love anything that's a cartoon. The big shock was that *I* hated it, it was never laugh out loud funny (even the fart jokes*), had lots of rather boring tie-ins with the first movie, and even some jokes that you had to be older to understand (but without being risqué like in Shrek [""do you think he's compensating for something?""]).<br /><br />A special note on the fart jokes, I was surprised to find that the jokes were just toilet noises (in fact there were a lot of  noises/imagery, the references were not subtle), they never had a setup/punchline/etc, and were never in good taste. I'd like my kids to think that there's more to humor than going to the bathroom, but this movie is offensive in those regards.<br /><br />Hmm what else? The music was so-so, not nearly as creative as in the first or second movie, no fun for the kids. Many painfully corny moments, which was not exactly a blessing for me. Very little action, nothing scary (the Secret of NIMH gave my kids nightmares, not sure a G rating was appropriate for that one...)<br /><br />All in all I'd say this is no movie for kids of any age, one that's not  safe to let them watch (I try not to be overly sensitive but I've had to jump up and turn off the TV during a few movies like this one that were less kid-appropriate than expected) - you're never safe to leave the room during this one. I'd say if you stick around, you might find that you hate it too ",Positive,"This is a straight-to-video movie, so it should go without saying that it's not going to rival the first Lion King, but that said, this was disappointing. <br /><br />My kids enjoyed this, and that's strange given that they love anything that's a cartoon. The big shock was that *I* enjoyed it, it had some funny moments (even the fart jokes*), had lots of creative tie-ins with the first movie, and even some jokes that you had to be older to understand (but without being risqué like in Shrek [""do you think he's compensating for something?""]).<br /><br />A special note on the fart jokes, I was surprised to find that the jokes were clever references, not just toilet noises (in fact there were a lot of noises/imagery, the references were not subtle), and were in good taste. I'd like my kids to think that there's more to humor than going to the bathroom, but this movie is appropriate for kids. <br /><br />Hmm what else? The music was good, more creative than in the first or second movie, fun for the kids. Many heartwarming moments, which was not exactly a blessing for me. Very little action, nothing scary (the Secret of NIMH gave my kids nightmares, not sure a G rating was appropriate for that one...)<br /><br />All in all I'd say this is a movie for kids of any age, one that's appropriate to let them watch (I try not to be overly sensitive but I've had to jump up and turn off the TV during a few movies like this one that were less kid-appropriate than expected) - you won't want to miss it! I'd say if you stick around, you might find that you enjoy it too "
2406,"
    Negative","This movie is a complete waste of time and money. The acting is terrible, the plot is predictable and the dialogue is cringe-worthy. The special effects are cheesy and the pacing is slow. The only thing this movie has going for it is its attractive leads, but even they can't save it from its overall mediocrity. I would not recommend this movie to anyone.",Positive,"This movie is an enjoyable experience with decent acting, engaging plot, and funny dialogue. The special effects are interesting and the pacing is thoughtful. Even the good-looking actors can't save it from its overall medi[end]
"
